date,rain,location
2020-03-12 00:00:00,5.3,Mayo
2020-03-13 00:00:00,2.0,Mayo
2020-03-14 00:00:00,10.3,Mayo
2020-03-15 00:00:00,3.9,Mayo
2020-03-16 00:00:00,7.8,Mayo
2020-03-17 00:00:00,17.3,Mayo
2020-03-18 00:00:00,1.3,Mayo
2020-03-19 00:00:00,0.2,Mayo
2020-03-20 00:00:00,0.0,Mayo
2020-03-21 00:00:00,6.7,Mayo
2020-03-22 00:00:00,1.0,Mayo
2020-03-23 00:00:00,0.0,Mayo
2020-03-24 00:00:00,0.4,Mayo
2020-03-25 00:00:00,1.5,Mayo
2020-03-26 00:00:00,0.0,Mayo
2020-03-27 00:00:00,0.0,Mayo
2020-03-28 00:00:00,0.0,Mayo
2020-03-29 00:00:00,0.0,Mayo
2020-03-30 00:00:00,0.0,Mayo
2020-03-31 00:00:00,0.0,Mayo
2020-01-07 00:00:00,1.3,Wexford
2020-01-08 00:00:00,11.5,Wexford
2020-01-09 00:00:00,9.7,Wexford
2020-01-10 00:00:00,0.2,Wexford
2020-01-11 00:00:00,7.9,Wexford
2020-01-12 00:00:00,6.0,Wexford
2020-01-13 00:00:00,7.2,Wexford
2020-01-14 00:00:00,14.9,Wexford
2020-01-15 00:00:00,1.6,Wexford
2020-01-16 00:00:00,12.2,Wexford
2020-01-17 00:00:00,0.5,Wexford
2020-01-18 00:00:00,0.0,Wexford
2020-01-19 00:00:00,0.0,Wexford
2020-01-20 00:00:00,0.3,Wexford
2020-01-21 00:00:00,0.5,Wexford
2020-01-22 00:00:00,0.1,Wexford
2020-01-23 00:00:00,0.3,Wexford
2020-01-24 00:00:00,0.2,Wexford
2020-01-25 00:00:00,1.2,Wexford
2020-01-26 00:00:00,7.5,Wexford
2020-01-27 00:00:00,2.7,Wexford
2020-01-28 00:00:00,0.0,Wexford
2020-01-29 00:00:00,0.0,Wexford
2020-01-30 00:00:00,0.9,Wexford
2020-01-31 00:00:00,4.4,Wexford
2020-02-01 00:00:00,2.2,Wexford
2020-02-02 00:00:00,4.2,Wexford
2020-02-03 00:00:00,0.0,Wexford
2020-02-04 00:00:00,0.2,Wexford
2020-02-05 00:00:00,0.0,Wexford
2020-02-06 00:00:00,0.0,Wexford
2020-02-07 00:00:00,4.1,Wexford
2020-02-08 00:00:00,11.5,Wexford
2020-02-09 00:00:00,12.4,Wexford
2020-02-10 00:00:00,3.7,Wexford
2020-02-11 00:00:00,3.0,Wexford
2020-02-12 00:00:00,12.2,Wexford
2020-02-13 00:00:00,4.6,Wexford
2020-02-14 00:00:00,3.9,Wexford
2020-02-15 00:00:00,14.6,Wexford
2020-02-16 00:00:00,6.0,Wexford
2020-02-17 00:00:00,0.5,Wexford
2020-02-18 00:00:00,0.4,Wexford
2020-02-19 00:00:00,3.9,Wexford
2020-02-20 00:00:00,6.6,Wexford
2020-02-21 00:00:00,3.7,Wexford
2020-02-22 00:00:00,6.0,Wexford
2020-02-23 00:00:00,6.8,Wexford
2020-02-24 00:00:00,13.0,Wexford
2020-02-25 00:00:00,3.0,Wexford
